,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
0,"Thomas Edmund ""Tom"" Burke",Tom Burke,United States,USA,183,66,Male,1875-01-15,http://d2a3o6pzho379u.cloudfront.net/78175.jpg,272.84,#a94848,"[169, 71, 71]"
1,Fritz Hofmann,Fritz Hofmann,Germany,GER,167,56,Male,1871-06-19,http://d2a3o6pzho379u.cloudfront.net/30260.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
2,Alajos János Szokoly (-Szokolyi),Alajos Szokoly,Hungary,HUN,None,None,Male,1871-06-19,http://d2a3o6pzho379u.cloudfront.net/71310.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
3,"Francis Adonijah ""Frank"" Lane",Frank Lane,United States,USA,170,69,Male,1874-09-23,http://d2a3o6pzho379u.cloudfront.net/78676.jpg,201.87,#b27d79,"[178, 124, 120]"
4,Alexandros Khalkokondylis,Alexandros Khalkokondylis,Greece,GRE,171,64,Male,1880-01-01,http://d2a3o6pzho379u.cloudfront.net/70714.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
5,"Thomas Pelham ""Tom"" Curtis",Tom Curtis,United States,USA,176,66,Male,1873-01-09,http://d2a3o6pzho379u.cloudfront.net/78290.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
6,Charles Henry Stuart Gmelin,Charles Gmelin,Great Britain,GBR,None,None,Male,1872-05-28,http://d2a3o6pzho379u.cloudfront.net/69073.jpg,208.91,#c17371,"[192, 114, 113]"
7,Launceston Elliot,Launceston Elliot,Great Britain,GBR,188,102,Male,1874-06-09,http://d2a3o6pzho379u.cloudfront.net/69034.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
8,"Friedrich Adolf ""Fritz"" Traun",Fritz Traun,Germany,GER,None,None,Male,1876-03-29,http://d2a3o6pzho379u.cloudfront.net/162.jpg,260.76,#bd504a,"[188, 79, 73]"
9,Adolphe Jules Grisel,Adolphe Grisel,France,FRA,165,None,Male,1872-12-09,http://d2a3o6pzho379u.cloudfront.net/46849.jpg,226.34,#ba6767,"[185, 102, 102]"
10,Eugen Stahl Schmidt,Eugen Schmidt,Denmark,DEN,None,None,Male,1862-02-17,http://d2a3o6pzho379u.cloudfront.net/66989.jpg,219.47,#b66d6d,"[182, 108, 108]"
11,George Herbert Marshall,George Marshall,Great Britain,GBR,None,None,Male,1876-10-02,http://d2a3o6pzho379u.cloudfront.net/69279.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
12,Kurt Wilhelm Doerry,Kurt Doerry,Germany,GER,179,73,Male,1874-09-24,http://d2a3o6pzho379u.cloudfront.net/70207.jpg,221.4,#9f766e,"[158, 117, 110]"
13,Georgios Gennimatas,Georgios Gennimatas,Greece,GRE,None,None,Male,1873-01-01,http://d2a3o6pzho379u.cloudfront.net/70729.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
14,Kristian Henrik Rudolf Sjöberg,Henrik Sjöberg,Sweden,SWE,None,None,Male,1875-01-20,http://d2a3o6pzho379u.cloudfront.net/76383.jpg,252.97,#a15959,"[160, 89, 89]"
15,Luis Subercaseaux Errázuriz,Luis Subercaseaux,Chile,CHI,None,None,Male,1882-05-10,None,brak zdj,brak zdj,brak zdj
16,Leonidasz Manno,Leonidasz Manno,Hungary,HUN,None,None,Male,1876-01-01,None,brak zdj,brak zdj,brak zdj
17,Jean Émile Albert Tournois,Jean Tournois,France,FRA,167,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
18,Konstantinos Mouratis,Konstantinos Mouratis,Greece,GRE,None,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
19,István Zachar,István Zachar,Hungary,HUN,None,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
